"PosNr";"Kurztext";"Menge";"Einheit";"EP_RLC_KI";"Gesamtpreis";"Bauverfahren";"Quelle"
"023";"Planum herstellen";"450";"m2";"0.80";"360.00";"Planum herstellen";"technical-parser"
"024";"FSK Korrigieren";"450";"m²";"6.77";"3046.50";"Frostschutzschicht korrigieren";"technical-parser"
"025";"Bankett herstellen";"5";"m3";"17.24";"86.20";"Bankett herstellen";"technical-parser"
"026";"Boden lösen und zwischenlagern, B1-3";"80";"m3";"5.51";"440.80";"Boden lösen und zwischenlagern";"technical-parser"
"027";"Probenahme und Deklarationsanalyse";"1";"St";"640.22";"640.22";"Probenahme und Deklarationsanalyse";"technical-parser"
"028";"Belast.Boden entsorgen Z0";"80";"m3";"29.55";"2364.00";"Boden Z0 entsorgen";"technical-parser"
"029";"Belast.Boden entsorgen Z 1.1";"20";"m3";"7.56";"151.20";"Boden Z1 entsorgen";"technical-parser"
"030";"Belast.Boden entsorgen Z 1.2";"20";"m3";"37.98";"759.60";"Boden Z2 entsorgen";"technical-parser"
"031";"Leitungsgraben herstellen";"85";"m3";"51.71";"4395.35";"Graben ausheben / Leitungsgraben herstellen";"technical-parser"
"032";"Verdichtbares Material liefern und einbauen";"10";"m3";"56.64";"566.40";"Recyclingmaterial liefern und einbauen";"technical-parser"
"033";"Planum herstellen 45";"75";"m2";"8.00";"600.00";"Planum herstellen";"technical-parser"
"034";"Zuschlag zu allen Aushubpositionen Stahlbetonaufbruch";"1";"m3";"517.10";"517.10";"Betonfundament herstellen";"technical-parser"
"035";"Erschwerniszuschlag Leitungskreuzung";"2";"St";"6.50";"13.00";"Erschwerniszuschlag Leitungskreuzung";"technical-parser"
"036";"Mehraufwand vorh. Leitungen";"75";"m";"4.50";"337.50";"Mehraufwand vorhandene Leitungen";"technical-parser"
"037";"RL ausbauen bis 300";"75";"m";"39.40";"2955.00";"Rohrleitung ausbauen bis DN 300";"technical-parser"
"038";"Handschacht";"5";"m3";"10.50";"52.50";"Handschachtung herstellen";"technical-parser"
"039";"Suchschlitz herstellen";"5";"m3";"55.04";"275.20";"Suchschlitz herstellen";"technical-parser"
"040";"Kunststoffrohrlleitung DN 300 herstellen";"75";"m";"116.96";"8772.00";"Kunststoffrohrleitung DN 300 herstellen";"technical-parser"
"041";"Kunststoffrohrlleitung DN 160 herstellen";"3";"m";"71.41";"214.23";"Kunststoffrohrleitung DN 160 herstellen";"technical-parser"
"042";"PP-Überschiebmuffe DN 300";"5";"Stk";"35.04";"175.20";"PP-Überschiebmuffe DN 300 einbauen";"technical-parser"
"043";"Übergangsstück PP-Beton DN 300";"1";"Stk";"153.90";"153.90";"Übergangsstück PP-Beton DN 300 einbauen";"technical-parser"
"044";"PP-Gelenkstück DN 300";"4";"St";"153.90";"615.60";"PP-Gelenkstück DN 300 einbauen";"technical-parser"
"045";"PP-Bogen DN300";"5";"St";"12.01";"60.05";"PP-Bogen DN 300 einbauen";"technical-parser"
"046";"PP-Abzweig DN300/160";"1";"St";"221.62";"221.62";"PP-Abzweig DN 300/160 einbauen";"technical-parser"
"047";"PP-Schnitt DN160";"5";"St";"92.34";"461.70";"PP-Schnitt DN 160 herstellen";"technical-parser"
"048";"Trassenwarnband liefern und verlegen";"75";"m";"0.43";"32.25";"Warnband / Trassenband verlegen";"technical-parser"
"049";"Straßenablauf Klasse D 400 herstellen";"1";"St";"677.16";"677.16";"Straßenablauf setzen";"technical-parser"
"050";"Straßenablaufschacht mit Durchlaufgerinne Klasse D 400 herstellen";"2";"St";"677.16";"1354.32";"Straßenablauf setzen";"technical-parser"
"051";"Erschwernisszuschlag Anschluss best. Schacht";"4";"St";"6.50";"26.00";"Erschwerniszuschlag Anschluss Bestandsschacht";"technical-parser"
"052";"Rohrleitung reinigen bis 300";"75";"m";"10.47";"785.25";"Rohrleitung reinigen bis DN 300";"technical-parser"
"053";"Kanal-TV bis DN 300 und 50m, in Betr.";"75";"m";"8.00";"600.00";"Kanal-TV bis DN 300 durchführen";"technical-parser"
"054";"FSS herstellen, d = 50 cm";"80";"m3";"64.02";"5121.60";"Frostschutzschicht herstellen";"technical-parser"
"055";"ATS aus AC 32 TS herstellen, 10 cm";"450";"m2";"24.61";"11074.50";"Asphalttragschicht herstellen";"technical-parser"
"056";"Zulage Mehr- Minderstärke";"450";"m²";"1.52";"684.00";"Zulage Mehr-/Minderstärke";"technical-parser"
"057";"ADS aus AC 11 DS herstellen, 4 cm";"1600";"m2";"14.47";"23152.00";"Asphaltdeckschicht herstellen";"technical-parser"
"058";"Zuschlag Hand ATS";"50";"m2";"14.77";"738.50";"Zuschlag Handeinbau Asphalt";"technical-parser"
"059";"Zuschlag Hand ADS";"50";"m2";"14.77";"738.50";"Zuschlag Handeinbau Asphalt";"technical-parser"
"060";"Unterlage reinigen";"1600";"m2";"0.56";"896.00";"Unterlage reinigen";"technical-parser"
"061";"Schichtenverbund herstellen";"1600";"m2";"1.05";"1680.00";"Schichtenverbund herstellen";"technical-parser"
"062";"Anschluss als Fuge herstellen";"100";"m";"5.29";"529.00";"Anschluss als Fuge herstellen";"technical-parser"
"063";"Granittiefbord herstellen";"20";"m";"83.72";"1674.40";"Granittiefbord herstellen";"technical-parser"
"064";"Werkpolier";"1";"h";"100.96";"100.96";"Polier / Vorarbeiter Regiestunde";"technical-parser"
"065";"Gehob. Facharbeiter";"3";"h";"83.72";"251.16";"Facharbeiter Regiestunde";"technical-parser"
"066";"Bagger 0,5";"1";"h";"71.41";"71.41";"Minibagger bis 3,5 t";"technical-parser"
"067";"Bagger 1";"2";"h";"71.41";"142.82";"Minibagger bis 3,5 t";"technical-parser"
"068";"Bagger>1";"1";"h";"113.27";"113.27";"Bagger 8–14 t";"technical-parser"
"069";"Radlader";"1";"h";"104.65";"104.65";"Radlader";"technical-parser"
"070";"Flächenrüttler";"1";"h";"29.55";"29.55";"Flächenrüttler einsetzen";"technical-parser"
"071";"LKW 7t";"1";"h";"135.43";"135.43";"LKW Kipper";"technical-parser"
"072";"Lkw 12t";"1";"h";"135.43";"135.43";"LKW Kipper";"technical-parser"

"";"GESAMT";"";"";"";"97644.34";"";""
