Positionsnummer;Kurztext;Langtext;Einheit;Preis;Kategorie
01.04.0168;Kabeltrasse H07RN-F 5G16 herstellen;Kabeltrasse H07RN-F 5G16 mit Betonplatte, Sandbettung ≥15 cm, Warnband. Markerband. Abschnitt 35, Segment 488. Dokumentation gem. DIN 1998, DIN 4124, DIN EN 1610. Abrechnung nach m. Nachweis: As‑Built.;m;31.59;Kabelbau
09.07.0176;Kabeltrasse N2XY 4x25 herstellen;Kabeltrasse NYY-J 3x50 mit Betonplatte, Sandbettung ≥20 cm, Warnband. Schachtbeschriftung. Abschnitt 46, Segment 493. Dokumentation gem. DIN 1998, ZTV Asphalt‑StB. Abrechnung nach m. Nachweis: Fotoprotokoll.;m;71.8;Kabelbau
05.05.0184;Kabeltrasse NYY-J 4x16 herstellen;Kabeltrasse H07RN-F 5G16 mit Betonplatte, Sandbettung ≥20 cm, Warnband. Streckenkilometer. Abschnitt 37, Segment 466. Dokumentation gem. DIN 18300, ZTV Pflaster‑StB. Abrechnung nach m. Nachweis: As‑Built.;m;87.93;Kabelbau
01.03.0192;Kabeltrasse NYY-J 5x10 herstellen;Kabeltrasse N2XY 4x25 mit Kabelschutzrohr DN110, Sandbettung ≥25 cm, Warnband. Schachtbeschriftung. Abschnitt 32, Segment 73. Dokumentation gem. DIN 18300, DIN 4124. Abrechnung nach m. Nachweis: Materialzertifikate.;m;35.85;Kabelbau
09.05.0200;Kabeltrasse NA2XS(F)2Y 1x240 herstellen;Kabeltrasse NA2XS(F)2Y 1x240 mit Betonplatte, Sandbettung ≥20 cm, Warnband. Schachtbeschriftung. Abschnitt 29, Segment 230. Dokumentation gem. DIN 4124, TL SoB‑StB. Abrechnung nach m. Nachweis: Messprotokoll.;m;6.69;Kabelbau
05.01.0208;Kabeltrasse NYY-J 4x16 herstellen;Kabeltrasse NYY-J 4x16 mit Sandbettung, Sandbettung ≥15 cm, Warnband. Streckenkilometer. Abschnitt 48, Segment 490. Dokumentation gem. DAfStb-Richtlinie, DIN EN 1610, DIN EN 206, ZTV Pflaster‑StB. Abrechnung nach m. Nachweis: As‑Built.;m;20.71;Kabelbau
01.03.0216;Kabeltrasse NYY-J 4x16 herstellen;Kabeltrasse NYY-J 3x50 mit Doppelrohr DN125, Sandbettung ≥10 cm, Warnband. Markerband. Abschnitt 22, Segment 172. Dokumentation gem. DIN 1045‑2, DIN 4124, DIN EN 206. Abrechnung nach m. Nachweis: Fotoprotokoll.;m;46.36;Kabelbau
09.08.0224;Kabeltrasse NA2XS(F)2Y 1x240 herstellen;Kabeltrasse H07RN-F 5G16 mit Betonplatte, Sandbettung ≥25 cm, Warnband. Markerband. Abschnitt 50, Segment 349. Dokumentation gem. ZTV Asphalt‑StB, ZTV Pflaster‑StB. Abrechnung nach m. Nachweis: Fotoprotokoll.;m;50.3;Kabelbau
05.10.0232;Kabeltrasse NYY-J 4x16 herstellen;Kabeltrasse N2XY 4x25 mit Kabelschutzrohr DN110, Sandbettung ≥15 cm, Warnband. Markerband. Abschnitt 6, Segment 5. Dokumentation gem. TL SoB‑StB, ZTV Pflaster‑StB. Abrechnung nach m. Nachweis: Fotoprotokoll.;m;65.46;Kabelbau
01.07.0240;Kabeltrasse NYY-J 3x50 herstellen;Kabeltrasse N2XY 4x25 mit Warnband, Sandbettung ≥25 cm, Warnband. Schachtbeschriftung. Abschnitt 17, Segment 338. Dokumentation gem. DIN 1045‑2, DIN 4124, ZTV Asphalt‑StB, ZTV Pflaster‑StB. Abrechnung nach m. Nachweis: Materialzertifikate.;m;56.95;Kabelbau
09.06.0248;Kabeltrasse NYY-J 5x10 herstellen;Kabeltrasse N2XY 4x25 mit Warnband, Sandbettung ≥10 cm, Warnband. Schachtbeschriftung. Abschnitt 35, Segment 196. Dokumentation gem. DAfStb-Richtlinie, DIN EN 206, ZTV Asphalt‑StB. Abrechnung nach m. Nachweis: Messprotokoll.;m;66.61;Kabelbau
05.07.0256;Kabeltrasse NYY-J 5x10 herstellen;Kabeltrasse NYY-J 4x16 mit Kabelschutzrohr DN110, Sandbettung ≥25 cm, Warnband. Markerband. Abschnitt 20, Segment 176. Dokumentation gem. DIN 18300, DIN 1998, DIN EN 1610. Abrechnung nach m. Nachweis: Messprotokoll.;m;6.66;Kabelbau
01.04.0264;Kabeltrasse NA2XS(F)2Y 1x240 herstellen;Kabeltrasse H07RN-F 5G16 mit Warnband, Sandbettung ≥25 cm, Warnband. Markerband. Abschnitt 31, Segment 457. Dokumentation gem. DIN 1045‑2, DIN EN 1610, DIN EN 206, ZTV Pflaster‑StB. Abrechnung nach m. Nachweis: As‑Built.;m;82.95;Kabelbau
09.02.0272;Kabeltrasse H07RN-F 5G16 herstellen;Kabeltrasse NYY-J 3x50 mit Warnband, Sandbettung ≥20 cm, Warnband. Streckenkilometer. Abschnitt 16, Segment 413. Dokumentation gem. DIN 1045‑2, ZTV Asphalt‑StB, ZTV Pflaster‑StB. Abrechnung nach m. Nachweis: Messprotokoll.;m;69.43;Kabelbau
05.12.0280;Kabeltrasse NYY-J 5x10 herstellen;Kabeltrasse NYY-J 5x10 mit Sandbettung, Sandbettung ≥25 cm, Warnband. Schachtbeschriftung. Abschnitt 43, Segment 173. Dokumentation gem. DIN 18300, DIN EN 206, ZTV Pflaster‑StB. Abrechnung nach m. Nachweis: Fotoprotokoll.;m;77.18;Kabelbau
01.05.0288;Kabeltrasse NYY-J 5x10 herstellen;Kabeltrasse H07RN-F 5G16 mit Betonplatte, Sandbettung ≥25 cm, Warnband. Markerband. Abschnitt 42, Segment 287. Dokumentation gem. DIN 1045‑2, DIN 18300, DIN 1998, TL SoB‑StB. Abrechnung nach m. Nachweis: Prüfzeugnisse.;m;42.58;Kabelbau
09.04.0296;Kabeltrasse NA2XS(F)2Y 1x240 herstellen;Kabeltrasse NA2XS(F)2Y 1x240 mit Doppelrohr DN125, Sandbettung ≥15 cm, Warnband. Streckenkilometer. Abschnitt 1, Segment 346. Dokumentation gem. DAfStb-Richtlinie, DIN 18300, TL SoB‑StB. Abrechnung nach m. Nachweis: Messprotokoll.;m;54.93;Kabelbau
05.06.0304;Kabeltrasse N2XY 4x25 herstellen;Kabeltrasse H07RN-F 5G16 mit Sandbettung, Sandbettung ≥15 cm, Warnband. Markerband. Abschnitt 33, Segment 127. Dokumentation gem. DIN 1998, DIN EN 1610. Abrechnung nach m. Nachweis: Fotoprotokoll.;m;12.29;Kabelbau
01.08.0312;Kabeltrasse N2XY 4x25 herstellen;Kabeltrasse NYY-J 4x16 mit Doppelrohr DN125, Sandbettung ≥20 cm, Warnband. Streckenkilometer. Abschnitt 46, Segment 370. Dokumentation gem. DAfStb-Richtlinie, DIN EN 1610, ZTV Pflaster‑StB. Abrechnung nach m. Nachweis: As‑Built.;m;49.15;Kabelbau
09.05.0320;Kabeltrasse H07RN-F 5G16 herstellen;Kabeltrasse NYY-J 4x16 mit Kabelschutzrohr DN110, Sandbettung ≥20 cm, Warnband. Streckenkilometer. Abschnitt 7, Segment 339. Dokumentation gem. DIN 18300, DIN 4124, TL SoB‑StB, ZTV Asphalt‑StB. Abrechnung nach m. Nachweis: Messprotokoll.;m;9.03;Kabelbau
05.11.0328;Kabeltrasse N2XY 4x25 herstellen;Kabeltrasse NYY-J 4x16 mit Kabelschutzrohr DN110, Sandbettung ≥10 cm, Warnband. Streckenkilometer. Abschnitt 35, Segment 121. Dokumentation gem. DIN 18300, DIN 4124. Abrechnung nach m. Nachweis: As‑Built.;m;53.2;Kabelbau
01.10.0336;Kabeltrasse NYY-J 5x10 herstellen;Kabeltrasse NYY-J 4x16 mit Kabelschutzrohr DN110, Sandbettung ≥25 cm, Warnband. Streckenkilometer. Abschnitt 34, Segment 134. Dokumentation gem. DAfStb-Richtlinie, TL SoB‑StB. Abrechnung nach m. Nachweis: Prüfzeugnisse.;m;44.66;Kabelbau
09.05.0344;Kabeltrasse N2XY 4x25 herstellen;Kabeltrasse NYY-J 5x10 mit Sandbettung, Sandbettung ≥25 cm, Warnband. Streckenkilometer. Abschnitt 18, Segment 68. Dokumentation gem. DIN 1998, TL SoB‑StB. Abrechnung nach m. Nachweis: Fotoprotokoll.;m;42.18;Kabelbau
05.09.0352;Kabeltrasse NYY-J 5x10 herstellen;Kabeltrasse H07RN-F 5G16 mit Doppelrohr DN125, Sandbettung ≥25 cm, Warnband. Markerband. Abschnitt 26, Segment 177. Dokumentation gem. DIN 1998, TL SoB‑StB. Abrechnung nach m. Nachweis: Prüfzeugnisse.;m;35.99;Kabelbau
01.09.0360;Kabeltrasse N2XY 4x25 herstellen;Kabeltrasse NYY-J 4x16 mit Kabelschutzrohr DN110, Sandbettung ≥10 cm, Warnband. Markerband. Abschnitt 27, Segment 211. Dokumentation gem. DIN 1045‑2, DIN 18300, DIN EN 1610, ZTV Asphalt‑StB. Abrechnung nach m. Nachweis: As‑Built.;m;60.79;Kabelbau
09.09.0368;Kabeltrasse NYY-J 3x50 herstellen;Kabeltrasse NYY-J 3x50 mit Kabelschutzrohr DN110, Sandbettung ≥15 cm, Warnband. Markerband. Abschnitt 49, Segment 171. Dokumentation gem. DIN 1045‑2, DIN 4124, DIN EN 206, ZTV Asphalt‑StB. Abrechnung nach m. Nachweis: Prüfzeugnisse.;m;18.21;Kabelbau
05.03.0376;Kabeltrasse NYY-J 4x16 herstellen;Kabeltrasse NYY-J 3x50 mit Warnband, Sandbettung ≥25 cm, Warnband. Markerband. Abschnitt 10, Segment 426. Dokumentation gem. DIN 1998, DIN EN 1610, DIN EN 206, TL SoB‑StB. Abrechnung nach m. Nachweis: Fotoprotokoll.;m;66.6;Kabelbau
01.06.0384;Kabeltrasse NYY-J 5x10 herstellen;Kabeltrasse N2XY 4x25 mit Sandbettung, Sandbettung ≥20 cm, Warnband. Schachtbeschriftung. Abschnitt 41, Segment 313. Dokumentation gem. DIN 1045‑2, DIN 4124, DIN EN 1610, DIN EN 206. Abrechnung nach m. Nachweis: Messprotokoll.;m;44.41;Kabelbau
09.06.0392;Kabeltrasse NYY-J 5x10 herstellen;Kabeltrasse NYY-J 4x16 mit Doppelrohr DN125, Sandbettung ≥10 cm, Warnband. Schachtbeschriftung. Abschnitt 23, Segment 101. Dokumentation gem. DIN 4124, DIN EN 206, ZTV Asphalt‑StB, ZTV Pflaster‑StB. Abrechnung nach m. Nachweis: Materialzertifikate.;m;29.53;Kabelbau
05.08.0400;Kabeltrasse NA2XS(F)2Y 1x240 herstellen;Kabeltrasse NYY-J 3x50 mit Warnband, Sandbettung ≥10 cm, Warnband. Markerband. Abschnitt 36, Segment 242. Dokumentation gem. TL SoB‑StB, ZTV Asphalt‑StB. Abrechnung nach m. Nachweis: Fotoprotokoll.;m;36.38;Kabelbau
01.01.0408;Kabeltrasse NYY-J 4x16 herstellen;Kabeltrasse N2XY 4x25 mit Betonplatte, Sandbettung ≥15 cm, Warnband. Markerband. Abschnitt 11, Segment 384. Dokumentation gem. DIN 1045‑2, DIN 1998, DIN EN 206, ZTV Asphalt‑StB. Abrechnung nach m. Nachweis: As‑Built.;m;56.91;Kabelbau
09.12.0416;Kabeltrasse N2XY 4x25 herstellen;Kabeltrasse N2XY 4x25 mit Kabelschutzrohr DN110, Sandbettung ≥20 cm, Warnband. Schachtbeschriftung. Abschnitt 26, Segment 346. Dokumentation gem. DAfStb-Richtlinie, DIN EN 206, ZTV Asphalt‑StB. Abrechnung nach m. Nachweis: Messprotokoll.;m;22.12;Kabelbau
05.06.0424;Kabeltrasse NA2XS(F)2Y 1x240 herstellen;Kabeltrasse NYY-J 5x10 mit Doppelrohr DN125, Sandbettung ≥20 cm, Warnband. Streckenkilometer. Abschnitt 38, Segment 268. Dokumentation gem. DAfStb-Richtlinie, ZTV Asphalt‑StB. Abrechnung nach m. Nachweis: Prüfzeugnisse.;m;37.1;Kabelbau
01.11.0432;Kabeltrasse NA2XS(F)2Y 1x240 herstellen;Kabeltrasse NA2XS(F)2Y 1x240 mit Warnband, Sandbettung ≥25 cm, Warnband. Streckenkilometer. Abschnitt 2, Segment 269. Dokumentation gem. DIN 1045‑2, DIN 1998, DIN EN 1610, ZTV Asphalt‑StB. Abrechnung nach m. Nachweis: As‑Built.;m;75.92;Kabelbau
09.09.0440;Kabeltrasse NYY-J 4x16 herstellen;Kabeltrasse NYY-J 5x10 mit Betonplatte, Sandbettung ≥10 cm, Warnband. Streckenkilometer. Abschnitt 17, Segment 98. Dokumentation gem. DAfStb-Richtlinie, DIN 1045‑2, DIN 18300, ZTV Asphalt‑StB. Abrechnung nach m. Nachweis: Fotoprotokoll.;m;82.26;Kabelbau
05.02.0448;Kabeltrasse H07RN-F 5G16 herstellen;Kabeltrasse NYY-J 3x50 mit Doppelrohr DN125, Sandbettung ≥15 cm, Warnband. Schachtbeschriftung. Abschnitt 26, Segment 42. Dokumentation gem. DIN 4124, DIN EN 1610, TL SoB‑StB, ZTV Pflaster‑StB. Abrechnung nach m. Nachweis: Prüfzeugnisse.;m;16.33;Kabelbau
01.04.0456;Kabeltrasse NYY-J 3x50 herstellen;Kabeltrasse H07RN-F 5G16 mit Sandbettung, Sandbettung ≥10 cm, Warnband. Streckenkilometer. Abschnitt 9, Segment 306. Dokumentation gem. DIN 18300, DIN 1998, TL SoB‑StB. Abrechnung nach m. Nachweis: As‑Built.;m;65.7;Kabelbau
09.04.0464;Kabeltrasse NYY-J 4x16 herstellen;Kabeltrasse NA2XS(F)2Y 1x240 mit Warnband, Sandbettung ≥10 cm, Warnband. Streckenkilometer. Abschnitt 43, Segment 466. Dokumentation gem. DAfStb-Richtlinie, DIN 18300, ZTV Pflaster‑StB. Abrechnung nach m. Nachweis: Messprotokoll.;m;88.67;Kabelbau
05.06.0472;Kabeltrasse NYY-J 3x50 herstellen;Kabeltrasse NYY-J 5x10 mit Sandbettung, Sandbettung ≥25 cm, Warnband. Markerband. Abschnitt 38, Segment 36. Dokumentation gem. DIN EN 1610, DIN EN 206. Abrechnung nach m. Nachweis: Materialzertifikate.;m;15.39;Kabelbau
01.02.0480;Kabeltrasse N2XY 4x25 herstellen;Kabeltrasse NA2XS(F)2Y 1x240 mit Doppelrohr DN125, Sandbettung ≥20 cm, Warnband. Markerband. Abschnitt 1, Segment 8. Dokumentation gem. DIN 1045‑2, DIN 18300, DIN 1998, DIN 4124. Abrechnung nach m. Nachweis: Fotoprotokoll.;m;16.2;Kabelbau
09.07.0488;Kabeltrasse NYY-J 3x50 herstellen;Kabeltrasse N2XY 4x25 mit Warnband, Sandbettung ≥10 cm, Warnband. Schachtbeschriftung. Abschnitt 26, Segment 177. Dokumentation gem. DAfStb-Richtlinie, DIN 1045‑2, DIN 4124, DIN EN 206. Abrechnung nach m. Nachweis: Fotoprotokoll.;m;48.03;Kabelbau
05.11.0496;Kabeltrasse H07RN-F 5G16 herstellen;Kabeltrasse NYY-J 5x10 mit Betonplatte, Sandbettung ≥20 cm, Warnband. Schachtbeschriftung. Abschnitt 46, Segment 433. Dokumentation gem. DAfStb-Richtlinie, DIN 1045‑2, DIN EN 1610. Abrechnung nach m. Nachweis: Fotoprotokoll.;m;73.69;Kabelbau
01.04.0504;Kabeltrasse H07RN-F 5G16 herstellen;Kabeltrasse H07RN-F 5G16 mit Warnband, Sandbettung ≥20 cm, Warnband. Markerband. Abschnitt 45, Segment 90. Dokumentation gem. DAfStb-Richtlinie, DIN 18300, DIN 1998, DIN EN 1610. Abrechnung nach m. Nachweis: Materialzertifikate.;m;18.09;Kabelbau
09.06.0512;Kabeltrasse NA2XS(F)2Y 1x240 herstellen;Kabeltrasse NYY-J 4x16 mit Sandbettung, Sandbettung ≥10 cm, Warnband. Streckenkilometer. Abschnitt 42, Segment 29. Dokumentation gem. DIN EN 1610, ZTV Pflaster‑StB. Abrechnung nach m. Nachweis: Fotoprotokoll.;m;52.04;Kabelbau
05.08.0520;Kabeltrasse NYY-J 4x16 herstellen;Kabeltrasse NYY-J 5x10 mit Sandbettung, Sandbettung ≥20 cm, Warnband. Schachtbeschriftung. Abschnitt 20, Segment 50. Dokumentation gem. DIN 18300, DIN EN 206. Abrechnung nach m. Nachweis: Messprotokoll.;m;40.42;Kabelbau
01.02.0528;Kabeltrasse H07RN-F 5G16 herstellen;Kabeltrasse NA2XS(F)2Y 1x240 mit Kabelschutzrohr DN110, Sandbettung ≥25 cm, Warnband. Streckenkilometer. Abschnitt 33, Segment 377. Dokumentation gem. DIN EN 206, TL SoB‑StB, ZTV Asphalt‑StB, ZTV Pflaster‑StB. Abrechnung nach m. Nachweis: Prüfzeugnisse.;m;25.05;Kabelbau
09.04.0536;Kabeltrasse NYY-J 4x16 herstellen;Kabeltrasse H07RN-F 5G16 mit Warnband, Sandbettung ≥25 cm, Warnband. Streckenkilometer. Abschnitt 18, Segment 342. Dokumentation gem. DIN 18300, DIN 1998, TL SoB‑StB. Abrechnung nach m. Nachweis: Materialzertifikate.;m;16.04;Kabelbau
05.12.0544;Kabeltrasse NA2XS(F)2Y 1x240 herstellen;Kabeltrasse NYY-J 3x50 mit Kabelschutzrohr DN110, Sandbettung ≥25 cm, Warnband. Schachtbeschriftung. Abschnitt 34, Segment 67. Dokumentation gem. DIN 4124, TL SoB‑StB. Abrechnung nach m. Nachweis: Materialzertifikate.;m;82.03;Kabelbau
01.02.0552;Kabeltrasse NA2XS(F)2Y 1x240 herstellen;Kabeltrasse N2XY 4x25 mit Sandbettung, Sandbettung ≥10 cm, Warnband. Streckenkilometer. Abschnitt 41, Segment 413. Dokumentation gem. DIN 1998, DIN 4124. Abrechnung nach m. Nachweis: Prüfzeugnisse.;m;89.25;Kabelbau
09.02.0560;Kabeltrasse NA2XS(F)2Y 1x240 herstellen;Kabeltrasse N2XY 4x25 mit Kabelschutzrohr DN110, Sandbettung ≥20 cm, Warnband. Schachtbeschriftung. Abschnitt 48, Segment 88. Dokumentation gem. DAfStb-Richtlinie, DIN 1998. Abrechnung nach m. Nachweis: Fotoprotokoll.;m;11.49;Kabelbau
05.12.0568;Kabeltrasse NA2XS(F)2Y 1x240 herstellen;Kabeltrasse H07RN-F 5G16 mit Sandbettung, Sandbettung ≥10 cm, Warnband. Markerband. Abschnitt 37, Segment 461. Dokumentation gem. DIN 1998, ZTV Pflaster‑StB. Abrechnung nach m. Nachweis: Fotoprotokoll.;m;9.44;Kabelbau
01.10.0576;Kabeltrasse NYY-J 5x10 herstellen;Kabeltrasse NA2XS(F)2Y 1x240 mit Sandbettung, Sandbettung ≥20 cm, Warnband. Streckenkilometer. Abschnitt 11, Segment 283. Dokumentation gem. DIN 1045‑2, DIN EN 1610, ZTV Asphalt‑StB, ZTV Pflaster‑StB. Abrechnung nach m. Nachweis: As‑Built.;m;11.05;Kabelbau
09.02.0584;Kabeltrasse N2XY 4x25 herstellen;Kabeltrasse NYY-J 3x50 mit Sandbettung, Sandbettung ≥25 cm, Warnband. Markerband. Abschnitt 40, Segment 370. Dokumentation gem. DAfStb-Richtlinie, DIN 1045‑2, DIN 1998, DIN 4124. Abrechnung nach m. Nachweis: As‑Built.;m;27.4;Kabelbau
05.06.0592;Kabeltrasse NYY-J 4x16 herstellen;Kabeltrasse NYY-J 3x50 mit Betonplatte, Sandbettung ≥25 cm, Warnband. Streckenkilometer. Abschnitt 34, Segment 302. Dokumentation gem. DAfStb-Richtlinie, DIN 1045‑2, DIN 1998, DIN EN 1610. Abrechnung nach m. Nachweis: Messprotokoll.;m;21.55;Kabelbau
01.08.0600;Kabeltrasse N2XY 4x25 herstellen;Kabeltrasse H07RN-F 5G16 mit Kabelschutzrohr DN110, Sandbettung ≥20 cm, Warnband. Schachtbeschriftung. Abschnitt 23, Segment 260. Dokumentation gem. DIN 1045‑2, ZTV Asphalt‑StB. Abrechnung nach m. Nachweis: Fotoprotokoll.;m;51.69;Kabelbau
09.05.0608;Kabeltrasse NYY-J 5x10 herstellen;Kabeltrasse N2XY 4x25 mit Doppelrohr DN125, Sandbettung ≥10 cm, Warnband. Streckenkilometer. Abschnitt 38, Segment 106. Dokumentation gem. DIN 1045‑2, DIN 18300, DIN EN 1610, ZTV Pflaster‑StB. Abrechnung nach m. Nachweis: Materialzertifikate.;m;77.45;Kabelbau
