Positionsnummer;Kurztext;Langtext;Einheit;Preis;Kategorie
12.07.0011;Fertigteilschacht DN1000 setzen;Fertigteilschacht DN2000, Tiefe 6 m, Fundament, Konus, Steigeisen, Abdeckung Kl. E600. Zu-/Abläufe einbinden, Fugen abdichten. Abschnitt 46, Segment 411. Ausführung gem. DAfStb-Richtlinie, DIN 18300, DIN 1998, ZTV Pflaster‑StB. Abrechnung pro St. Nachweis: Messprotokoll.;St;572.98;Schachtbau
01.08.0012;Asphalteinbau AC 22 T S 7 cm;Asphalteinbau: SMA 11 S Dicke 9 cm, Binderschicht/Tragschicht entsprechend ZTV. Flächenverdichtung. Abschnitt 5, Segment 477. Verdichtung und Ebenheit nach DIN 1045‑2, DIN 1998. Abrechnung nach m². Nachweis: Materialzertifikate.;m²;30.09;Straßenbau
02.06.0013;Pflaster Klinkerpflaster 6 cm liefern & verlegen;Pflasterdecke Klinkerpflaster 6 cm, Bettung 4 cm, Tragschicht 14 cm, Fugenverfüllung und Abrütteln. Randsteine setzen. Abschnitt 8, Segment 399. Ausführung nach DIN 1045‑2, DIN EN 206, ZTV Asphalt‑StB, ZTV Pflaster‑StB. Abrechnung nach m². Nachweis: As‑Built.;m²;25.32;Pflaster
03.03.0014;Ortbeton C50/60 herstellen;Ortbetonbauteil in Klasse C35/45, Expositionsklasse XA1, Sichtklasse SB1. Schalung, Bewehrung, Einbau, Verdichtung, Nachbehandlung. Abschnitt 33, Segment 321. Ausführung gem. DIN EN 1610, ZTV Asphalt‑StB. Abrechnung nach m³. Nachweis: Messprotokoll.;m³;57.25;Betonbau
04.01.0015;Entwässerungsleitung DN500 KG;Entwässerungsleitung DN500 aus Steinzeug mit Gefälle 0.98 %, Bettung und Abdeckung gem. EN 1610. Reinigungsöffnungen, TV-Inspektion. Abschnitt 44, Segment 303. Ausführung nach DAfStb-Richtlinie, DIN 1045‑2, TL SoB‑StB, ZTV Pflaster‑StB. Abrechnung nach m. Nachweis: Messprotokoll.;m;38.32;Entwässerung
05.10.0016;Kabeltrasse N2XY 4x25 herstellen;Kabeltrasse NYY-J 5x10 mit Warnband, Sandbettung ≥10 cm, Warnband. Streckenkilometer. Abschnitt 46, Segment 397. Dokumentation gem. DIN 1045‑2, DIN 1998, TL SoB‑StB. Abrechnung nach m. Nachweis: Fotoprotokoll.;m;34.75;Kabelbau
06.09.0017;Erdarbeiten Aushub bis 2.69 m;Erdarbeiten: Aushub bis 0.92 m, Bodenklasse nichtbindig, Verbau Trägerbohlen, Verladung/Transport/Wiedereinbau geeigneter Massen. Verdichtung ≥97 % Proctor. Abschnitt 46, Segment 299. Ausführung nach DIN 1998, DIN EN 1610, ZTV Asphalt‑StB. Abrechnung nach m³. Nachweis: Materialzertifikate.;m³;61.91;Erdarbeiten
07.05.0018;Leitung DN50 PE100-RC verlegen;Liefern und Verlegen einer Rohrleitung DN63 aus GGG in Sandbettung (≥20 cm), Verdichtung, Formstücke, Abzweige und Oberflächenwiederherstellung. Abschnitt 34, Segment 219. Dichtheitsprüfung gemäß DIN 1998, DIN EN 1610, TL SoB‑StB. Abrechnung nach m. Nachweis: Messprotokoll.;m;82.91;Leitungen
08.09.0019;Fertigteilschacht DN600 setzen;Fertigteilschacht DN1000, Tiefe 2 m, Fundament, Konus, Steigeisen, Abdeckung Kl. F900. Zu-/Abläufe einbinden, Fugen abdichten. Abschnitt 9, Segment 279. Ausführung gem. DIN 1045‑2, DIN 4124, DIN EN 1610, ZTV Asphalt‑StB. Abrechnung pro St. Nachweis: Messprotokoll.;St;31.7;Schachtbau
09.10.0020;Asphalteinbau Gussasphalt GA 11 8 cm;Asphalteinbau: AC 22 T S Dicke 9 cm, Binderschicht/Tragschicht entsprechend ZTV. Kantenbearbeitung. Abschnitt 20, Segment 333. Verdichtung und Ebenheit nach DAfStb-Richtlinie, DIN 18300, DIN 1998. Abrechnung nach m². Nachweis: Messprotokoll.;m²;12.66;Straßenbau
10.12.0021;Pflaster Klinkerpflaster 6 cm liefern & verlegen;Pflasterdecke Granit Großpflaster 14/17, Bettung 5 cm, Tragschicht 12 cm, Fugenverfüllung und Abrütteln. Randsteine setzen. Abschnitt 35, Segment 170. Ausführung nach DIN 1998, DIN EN 1610, TL SoB‑StB, ZTV Asphalt‑StB. Abrechnung nach m². Nachweis: Prüfzeugnisse.;m²;31.71;Pflaster
11.08.0022;Ortbeton C40/50 herstellen;Ortbetonbauteil in Klasse C50/60, Expositionsklasse XF3, Sichtklasse SB2. Schalung, Bewehrung, Einbau, Verdichtung, Nachbehandlung. Abschnitt 12, Segment 104. Ausführung gem. DAfStb-Richtlinie, DIN EN 1610. Abrechnung nach m³. Nachweis: Materialzertifikate.;m³;18.31;Betonbau
12.05.0023;Entwässerungsleitung DN200 PP-HM;Entwässerungsleitung DN160 aus KG mit Gefälle 1.79 %, Bettung und Abdeckung gem. EN 1610. Reinigungsöffnungen, Dichtheitsprüfung. Abschnitt 4, Segment 215. Ausführung nach DIN 1998, DIN EN 206, TL SoB‑StB, ZTV Asphalt‑StB. Abrechnung nach m. Nachweis: Fotoprotokoll.;m;78.97;Entwässerung
01.05.0024;Kabeltrasse N2XY 4x25 herstellen;Kabeltrasse NYY-J 4x16 mit Betonplatte, Sandbettung ≥10 cm, Warnband. Schachtbeschriftung. Abschnitt 1, Segment 27. Dokumentation gem. DIN 18300, ZTV Asphalt‑StB, ZTV Pflaster‑StB. Abrechnung nach m. Nachweis: Messprotokoll.;m;14.85;Kabelbau
02.02.0025;Erdarbeiten Aushub bis 1.15 m;Erdarbeiten: Aushub bis 2.2 m, Bodenklasse felsig, Böschung 1:1.5, Verladung/Transport/Wiedereinbau geeigneter Massen. Verdichtung ≥96 % Proctor. Abschnitt 45, Segment 5. Ausführung nach ZTV Asphalt‑StB, ZTV Pflaster‑StB. Abrechnung nach m³. Nachweis: Materialzertifikate.;m³;14.74;Erdarbeiten
03.11.0026;Leitung DN75 PP-HM verlegen;Liefern und Verlegen einer Rohrleitung DN280 aus Stahl S235 in Sandbettung (≥15 cm), Verdichtung, Formstücke, Abzweige und Oberflächenwiederherstellung. Abschnitt 8, Segment 33. Dichtheitsprüfung gemäß TL SoB‑StB, ZTV Asphalt‑StB, ZTV Pflaster‑StB. Abrechnung nach m. Nachweis: Messprotokoll.;m;18.36;Leitungen
04.09.0027;Fertigteilschacht DN800 setzen;Fertigteilschacht DN2000, Tiefe 3 m, Fundament, Konus, Steigeisen, Abdeckung Kl. F900. Zu-/Abläufe einbinden, Fugen abdichten. Abschnitt 40, Segment 113. Ausführung gem. DIN 1045‑2, DIN 1998, ZTV Pflaster‑StB. Abrechnung pro St. Nachweis: Messprotokoll.;St;1437.03;Schachtbau
05.07.0028;Asphalteinbau AC 11 D 5 cm;Asphalteinbau: AC 22 T S Dicke 5 cm, Binderschicht/Tragschicht entsprechend ZTV. Flächenverdichtung. Abschnitt 43, Segment 69. Verdichtung und Ebenheit nach DIN 18300, ZTV Pflaster‑StB. Abrechnung nach m². Nachweis: Messprotokoll.;m²;33.35;Straßenbau
06.04.0029;Pflaster Natursteinplatte 3 cm liefern & verlegen;Pflasterdecke Natursteinplatte 3 cm, Bettung 4 cm, Tragschicht 12 cm, Fugenverfüllung und Abrütteln. Randsteine setzen. Abschnitt 33, Segment 212. Ausführung nach DAfStb-Richtlinie, DIN EN 1610, DIN EN 206. Abrechnung nach m². Nachweis: Messprotokoll.;m²;19.64;Pflaster
07.02.0030;Ortbeton C50/60 herstellen;Ortbetonbauteil in Klasse C25/30, Expositionsklasse XA2, Sichtklasse SB3. Schalung, Bewehrung, Einbau, Verdichtung, Nachbehandlung. Abschnitt 42, Segment 299. Ausführung gem. DIN 18300, DIN 1998, DIN EN 1610. Abrechnung nach m³. Nachweis: Messprotokoll.;m³;48.42;Betonbau
08.11.0031;Entwässerungsleitung DN200 Steinzeug;Entwässerungsleitung DN800 aus PP-HM mit Gefälle 1.99 %, Bettung und Abdeckung gem. EN 1610. Rückstauklappen, TV-Inspektion. Abschnitt 9, Segment 496. Ausführung nach DIN 1998, DIN 4124. Abrechnung nach m. Nachweis: As‑Built.;m;15.45;Entwässerung
09.12.0032;Kabeltrasse NA2XS(F)2Y 1x240 herstellen;Kabeltrasse H07RN-F 5G16 mit Kabelschutzrohr DN110, Sandbettung ≥25 cm, Warnband. Markerband. Abschnitt 23, Segment 455. Dokumentation gem. DIN 1045‑2, DIN 1998, DIN EN 1610, TL SoB‑StB. Abrechnung nach m. Nachweis: Prüfzeugnisse.;m;64.97;Kabelbau
10.10.0033;Erdarbeiten Aushub bis 0.93 m;Erdarbeiten: Aushub bis 1.81 m, Bodenklasse BK 3–5, Böschung 1:1.5, Verladung/Transport/Wiedereinbau geeigneter Massen. Verdichtung ≥98 % Proctor. Abschnitt 48, Segment 267. Ausführung nach DIN EN 1610, ZTV Asphalt‑StB, ZTV Pflaster‑StB. Abrechnung nach m³. Nachweis: Messprotokoll.;m³;37.69;Erdarbeiten
11.05.0034;Leitung DN110 PVC-U verlegen;Liefern und Verlegen einer Rohrleitung DN180 aus PVC-U in Sandbettung (≥10 cm), Verdichtung, Formstücke, Abzweige und Oberflächenwiederherstellung. Abschnitt 13, Segment 301. Dichtheitsprüfung gemäß DAfStb-Richtlinie, DIN 18300, DIN EN 206, TL SoB‑StB. Abrechnung nach m. Nachweis: Fotoprotokoll.;m;12.58;Leitungen
12.08.0035;Fertigteilschacht DN1500 setzen;Fertigteilschacht DN1000, Tiefe 2 m, Fundament, Konus, Steigeisen, Abdeckung Kl. B125. Zu-/Abläufe einbinden, Fugen abdichten. Abschnitt 28, Segment 244. Ausführung gem. DIN 1045‑2, DIN 1998, DIN EN 1610, ZTV Asphalt‑StB. Abrechnung pro St. Nachweis: Messprotokoll.;St;552.88;Schachtbau
01.05.0036;Asphalteinbau AC 16 D 10 cm;Asphalteinbau: PA 11 Dicke 6 cm, Binderschicht/Tragschicht entsprechend ZTV. Nähte heiß. Abschnitt 29, Segment 147. Verdichtung und Ebenheit nach DIN 4124, DIN EN 206, ZTV Asphalt‑StB, ZTV Pflaster‑StB. Abrechnung nach m². Nachweis: Fotoprotokoll.;m²;43.91;Straßenbau
02.01.0037;Pflaster Ökopflaster 10 cm liefern & verlegen;Pflasterdecke Ökopflaster 10 cm, Bettung 3 cm, Tragschicht 16 cm, Fugenverfüllung und Abrütteln. Randsteine setzen. Abschnitt 17, Segment 21. Ausführung nach DIN 1045‑2, DIN EN 1610, DIN EN 206, ZTV Pflaster‑StB. Abrechnung nach m². Nachweis: As‑Built.;m²;37.75;Pflaster
03.11.0038;Ortbeton C35/45 herstellen;Ortbetonbauteil in Klasse C30/37, Expositionsklasse XD2, Sichtklasse SB3. Schalung, Bewehrung, Einbau, Verdichtung, Nachbehandlung. Abschnitt 23, Segment 229. Ausführung gem. DIN 1998, DIN 4124. Abrechnung nach m³. Nachweis: Prüfzeugnisse.;m³;34.49;Betonbau
04.03.0039;Entwässerungsleitung DN300 Steinzeug;Entwässerungsleitung DN250 aus PP-HM mit Gefälle 1.4 %, Bettung und Abdeckung gem. EN 1610. Sandfang, Druckprüfung. Abschnitt 34, Segment 302. Ausführung nach DIN 1045‑2, DIN 1998, DIN EN 1610, DIN EN 206. Abrechnung nach m. Nachweis: Prüfzeugnisse.;m;73.01;Entwässerung
05.11.0040;Kabeltrasse NYY-J 3x50 herstellen;Kabeltrasse N2XY 4x25 mit Betonplatte, Sandbettung ≥25 cm, Warnband. Streckenkilometer. Abschnitt 33, Segment 203. Dokumentation gem. DIN EN 206, ZTV Asphalt‑StB. Abrechnung nach m. Nachweis: As‑Built.;m;60.05;Kabelbau
06.07.0041;Erdarbeiten Aushub bis 2.35 m;Erdarbeiten: Aushub bis 0.82 m, Bodenklasse bindig, Verbau KS, Verladung/Transport/Wiedereinbau geeigneter Massen. Verdichtung ≥96 % Proctor. Abschnitt 44, Segment 226. Ausführung nach DIN 18300, DIN 1998, ZTV Pflaster‑StB. Abrechnung nach m³. Nachweis: Prüfzeugnisse.;m³;62.61;Erdarbeiten
07.08.0042;Leitung DN40 PE100-RC verlegen;Liefern und Verlegen einer Rohrleitung DN225 aus Stahl S235 in Sandbettung (≥15 cm), Verdichtung, Formstücke, Abzweige und Oberflächenwiederherstellung. Abschnitt 15, Segment 36. Dichtheitsprüfung gemäß DIN 1045‑2, DIN 4124, TL SoB‑StB, ZTV Pflaster‑StB. Abrechnung nach m. Nachweis: As‑Built.;m;38.69;Leitungen
08.03.0043;Fertigteilschacht DN1200 setzen;Fertigteilschacht DN600, Tiefe 5 m, Fundament, Konus, Steigeisen, Abdeckung Kl. D400. Zu-/Abläufe einbinden, Fugen abdichten. Abschnitt 17, Segment 474. Ausführung gem. DIN 1998, DIN EN 206. Abrechnung pro St. Nachweis: Materialzertifikate.;St;578.58;Schachtbau
09.08.0044;Asphalteinbau SMA 8 S 7 cm;Asphalteinbau: SMA 8 S Dicke 7 cm, Binderschicht/Tragschicht entsprechend ZTV. Fugenverguss. Abschnitt 37, Segment 268. Verdichtung und Ebenheit nach DAfStb-Richtlinie, DIN 1998. Abrechnung nach m². Nachweis: Fotoprotokoll.;m²;13.74;Straßenbau
10.08.0045;Pflaster Rasengitterstein 10 cm liefern & verlegen;Pflasterdecke Basalt-Mosaik, Bettung 6 cm, Tragschicht 12 cm, Fugenverfüllung und Abrütteln. Randsteine setzen. Abschnitt 43, Segment 21. Ausführung nach DIN 18300, DIN 4124, ZTV Asphalt‑StB. Abrechnung nach m². Nachweis: Fotoprotokoll.;m²;13.12;Pflaster
11.01.0046;Ortbeton C45/55 herstellen;Ortbetonbauteil in Klasse C30/37, Expositionsklasse XA1, Sichtklasse SB3. Schalung, Bewehrung, Einbau, Verdichtung, Nachbehandlung. Abschnitt 35, Segment 60. Ausführung gem. DAfStb-Richtlinie, TL SoB‑StB. Abrechnung nach m³. Nachweis: As‑Built.;m³;48.9;Betonbau
12.04.0047;Entwässerungsleitung DN400 Steinzeug;Entwässerungsleitung DN200 aus Beton mit Gefälle 2.02 %, Bettung und Abdeckung gem. EN 1610. Rückstauklappen, TV-Inspektion. Abschnitt 22, Segment 242. Ausführung nach DAfStb-Richtlinie, DIN 1045‑2, DIN EN 1610. Abrechnung nach m. Nachweis: Prüfzeugnisse.;m;29.8;Entwässerung
01.07.0048;Kabeltrasse NYY-J 4x16 herstellen;Kabeltrasse NA2XS(F)2Y 1x240 mit Kabelschutzrohr DN110, Sandbettung ≥10 cm, Warnband. Schachtbeschriftung. Abschnitt 28, Segment 158. Dokumentation gem. DIN 4124, TL SoB‑StB. Abrechnung nach m. Nachweis: Materialzertifikate.;m;44.82;Kabelbau
02.06.0049;Erdarbeiten Aushub bis 1.22 m;Erdarbeiten: Aushub bis 0.98 m, Bodenklasse nichtbindig, Verbau KS, Verladung/Transport/Wiedereinbau geeigneter Massen. Verdichtung ≥96 % Proctor. Abschnitt 49, Segment 419. Ausführung nach DIN EN 1610, TL SoB‑StB. Abrechnung nach m³. Nachweis: Fotoprotokoll.;m³;56.71;Erdarbeiten
03.03.0050;Leitung DN400 PE100-RC verlegen;Liefern und Verlegen einer Rohrleitung DN90 aus PE100-RC in Sandbettung (≥30 cm), Verdichtung, Formstücke, Abzweige und Oberflächenwiederherstellung. Abschnitt 4, Segment 59. Dichtheitsprüfung gemäß DIN 18300, DIN 1998, DIN EN 1610, TL SoB‑StB. Abrechnung nach m. Nachweis: Prüfzeugnisse.;m;22.09;Leitungen
04.08.0051;Fertigteilschacht DN800 setzen;Fertigteilschacht DN1200, Tiefe 4 m, Fundament, Konus, Steigeisen, Abdeckung Kl. E600. Zu-/Abläufe einbinden, Fugen abdichten. Abschnitt 28, Segment 110. Ausführung gem. DIN 4124, ZTV Pflaster‑StB. Abrechnung pro St. Nachweis: Prüfzeugnisse.;St;65.45;Schachtbau
05.06.0052;Asphalteinbau AC 22 T S 3 cm;Asphalteinbau: PA 11 Dicke 8 cm, Binderschicht/Tragschicht entsprechend ZTV. Anrampungen. Abschnitt 14, Segment 7. Verdichtung und Ebenheit nach DIN EN 1610, TL SoB‑StB, ZTV Asphalt‑StB. Abrechnung nach m². Nachweis: Prüfzeugnisse.;m²;27.36;Straßenbau
06.10.0053;Pflaster Ökopflaster 10 cm liefern & verlegen;Pflasterdecke Granit Großpflaster 14/17, Bettung 3 cm, Tragschicht 12 cm, Fugenverfüllung und Abrütteln. Randsteine setzen. Abschnitt 24, Segment 63. Ausführung nach DIN 1045‑2, DIN EN 206, ZTV Asphalt‑StB. Abrechnung nach m². Nachweis: Materialzertifikate.;m²;12.75;Pflaster
07.12.0054;Ortbeton C40/50 herstellen;Ortbetonbauteil in Klasse C50/60, Expositionsklasse XD2, Sichtklasse SB1. Schalung, Bewehrung, Einbau, Verdichtung, Nachbehandlung. Abschnitt 26, Segment 340. Ausführung gem. DIN EN 1610, DIN EN 206, TL SoB‑StB, ZTV Asphalt‑StB. Abrechnung nach m³. Nachweis: Prüfzeugnisse.;m³;51.27;Betonbau
08.10.0055;Entwässerungsleitung DN100 Beton;Entwässerungsleitung DN200 aus Steinzeug mit Gefälle 1.44 %, Bettung und Abdeckung gem. EN 1610. Reinigungsöffnungen, Druckprüfung. Abschnitt 36, Segment 278. Ausführung nach DAfStb-Richtlinie, DIN 1998, DIN EN 1610, ZTV Asphalt‑StB. Abrechnung nach m. Nachweis: Fotoprotokoll.;m;51.69;Entwässerung
09.03.0056;Kabeltrasse NYY-J 5x10 herstellen;Kabeltrasse NYY-J 3x50 mit Doppelrohr DN125, Sandbettung ≥25 cm, Warnband. Markerband. Abschnitt 31, Segment 43. Dokumentation gem. DAfStb-Richtlinie, DIN 1998, DIN 4124, DIN EN 206. Abrechnung nach m. Nachweis: As‑Built.;m;53.73;Kabelbau
10.02.0057;Erdarbeiten Aushub bis 2.75 m;Erdarbeiten: Aushub bis 2.16 m, Bodenklasse BK 2–3, Verbau Trägerbohlen, Verladung/Transport/Wiedereinbau geeigneter Massen. Verdichtung ≥95 % Proctor. Abschnitt 15, Segment 427. Ausführung nach DIN EN 206, TL SoB‑StB. Abrechnung nach m³. Nachweis: Messprotokoll.;m³;12.23;Erdarbeiten
11.01.0058;Leitung DN315 PE100-RC verlegen;Liefern und Verlegen einer Rohrleitung DN250 aus Stahl S235 in Sandbettung (≥30 cm), Verdichtung, Formstücke, Abzweige und Oberflächenwiederherstellung. Abschnitt 37, Segment 339. Dichtheitsprüfung gemäß DIN 18300, ZTV Pflaster‑StB. Abrechnung nach m. Nachweis: Materialzertifikate.;m;56.02;Leitungen
12.08.0059;Fertigteilschacht DN600 setzen;Fertigteilschacht DN800, Tiefe 5 m, Fundament, Konus, Steigeisen, Abdeckung Kl. B125. Zu-/Abläufe einbinden, Fugen abdichten. Abschnitt 6, Segment 127. Ausführung gem. DIN 1045‑2, ZTV Pflaster‑StB. Abrechnung pro St. Nachweis: Materialzertifikate.;St;599.97;Schachtbau
01.07.0060;Asphalteinbau AC 11 D 7 cm;Asphalteinbau: SMA 8 S Dicke 4 cm, Binderschicht/Tragschicht entsprechend ZTV. Anrampungen. Abschnitt 40, Segment 287. Verdichtung und Ebenheit nach DAfStb-Richtlinie, DIN 1998, DIN EN 206, ZTV Asphalt‑StB. Abrechnung nach m². Nachweis: As‑Built.;m²;38.57;Straßenbau
02.10.0061;Pflaster Betonplatte 6 cm liefern & verlegen;Pflasterdecke Granitpflaster 8/10, Bettung 5 cm, Tragschicht 20 cm, Fugenverfüllung und Abrütteln. Randsteine setzen. Abschnitt 14, Segment 117. Ausführung nach DAfStb-Richtlinie, DIN 1045‑2, DIN EN 206, ZTV Pflaster‑StB. Abrechnung nach m². Nachweis: Messprotokoll.;m²;36.68;Pflaster
03.05.0062;Ortbeton C25/30 herstellen;Ortbetonbauteil in Klasse C50/60, Expositionsklasse XD2, Sichtklasse ohne Sichtanforderung. Schalung, Bewehrung, Einbau, Verdichtung, Nachbehandlung. Abschnitt 45, Segment 17. Ausführung gem. DIN 1045‑2, ZTV Asphalt‑StB. Abrechnung nach m³. Nachweis: Fotoprotokoll.;m³;35.48;Betonbau
04.03.0063;Entwässerungsleitung DN200 PP-HM;Entwässerungsleitung DN125 aus Steinzeug mit Gefälle 0.76 %, Bettung und Abdeckung gem. EN 1610. Kontrollschächte, Druckprüfung. Abschnitt 41, Segment 253. Ausführung nach DIN 1045‑2, DIN 4124, DIN EN 1610, DIN EN 206. Abrechnung nach m. Nachweis: Messprotokoll.;m;88.99;Entwässerung
05.09.0064;Kabeltrasse H07RN-F 5G16 herstellen;Kabeltrasse N2XY 4x25 mit Betonplatte, Sandbettung ≥15 cm, Warnband. Markerband. Abschnitt 22, Segment 20. Dokumentation gem. DIN 1998, DIN EN 206, ZTV Asphalt‑StB, ZTV Pflaster‑StB. Abrechnung nach m. Nachweis: Fotoprotokoll.;m;63.5;Kabelbau
06.12.0065;Erdarbeiten Aushub bis 1.53 m;Erdarbeiten: Aushub bis 1.81 m, Bodenklasse felsig, Böschung 1:1.5, Verladung/Transport/Wiedereinbau geeigneter Massen. Verdichtung ≥97 % Proctor. Abschnitt 16, Segment 37. Ausführung nach DAfStb-Richtlinie, DIN 18300. Abrechnung nach m³. Nachweis: Fotoprotokoll.;m³;51.34;Erdarbeiten
07.01.0066;Leitung DN32 PP-HM verlegen;Liefern und Verlegen einer Rohrleitung DN400 aus PE100-RC in Sandbettung (≥15 cm), Verdichtung, Formstücke, Abzweige und Oberflächenwiederherstellung. Abschnitt 7, Segment 369. Dichtheitsprüfung gemäß DAfStb-Richtlinie, DIN 18300, DIN 4124, DIN EN 1610. Abrechnung nach m. Nachweis: Messprotokoll.;m;4.35;Leitungen
08.04.0067;Fertigteilschacht DN800 setzen;Fertigteilschacht DN800, Tiefe 5 m, Fundament, Konus, Steigeisen, Abdeckung Kl. D400. Zu-/Abläufe einbinden, Fugen abdichten. Abschnitt 30, Segment 245. Ausführung gem. DIN 1998, ZTV Asphalt‑StB. Abrechnung pro St. Nachweis: Prüfzeugnisse.;St;378.6;Schachtbau
09.06.0068;Asphalteinbau AC 16 D 6 cm;Asphalteinbau: AC 22 T S Dicke 4 cm, Binderschicht/Tragschicht entsprechend ZTV. Anrampungen. Abschnitt 50, Segment 60. Verdichtung und Ebenheit nach DIN 18300, DIN 4124, ZTV Pflaster‑StB. Abrechnung nach m². Nachweis: Messprotokoll.;m²;39.3;Straßenbau
10.07.0069;Pflaster Betonpflaster 8 cm liefern & verlegen;Pflasterdecke Rasengitterstein 10 cm, Bettung 5 cm, Tragschicht 14 cm, Fugenverfüllung und Abrütteln. Randsteine setzen. Abschnitt 19, Segment 385. Ausführung nach DIN EN 1610, DIN EN 206, TL SoB‑StB, ZTV Pflaster‑StB. Abrechnung nach m². Nachweis: Materialzertifikate.;m²;41.49;Pflaster
11.08.0070;Ortbeton C25/30 herstellen;Ortbetonbauteil in Klasse C35/45, Expositionsklasse XF3, Sichtklasse SB1. Schalung, Bewehrung, Einbau, Verdichtung, Nachbehandlung. Abschnitt 24, Segment 486. Ausführung gem. DIN 4124, ZTV Asphalt‑StB. Abrechnung nach m³. Nachweis: Messprotokoll.;m³;25.13;Betonbau
12.05.0071;Entwässerungsleitung DN150 PP-HM;Entwässerungsleitung DN600 aus KG mit Gefälle 1.47 %, Bettung und Abdeckung gem. EN 1610. Kontrollschächte, Dichtheitsprüfung. Abschnitt 7, Segment 109. Ausführung nach DAfStb-Richtlinie, DIN 1045‑2, DIN EN 1610. Abrechnung nach m. Nachweis: Messprotokoll.;m;61.65;Entwässerung
